ticker,Date,TVol,TXN,TV,OP,HP,LP,CP,Dir,CHG,LBBP,LBBV,LBSP,LBSV,PER
0050,20210129,14709917.0,18761.0,"1,910,423,184",131.6,131.85,128.2,128.2,-,2.15,128.15,4.0,128.2,285.0,0.00
0051,20210129,29192.0,44.0,"1,291,507",44.89,45.0,43.7,43.7,-,1.0,43.7,33.0,43.85,20.0,0.00
0052,20210129,1894468.0,1402.0,"235,296,203",126.4,126.85,122.1,122.15,-,1.65,122.1,1.0,122.15,4.0,0.00
0053,20210129,51173.0,52.0,"3,270,137",64.95,64.95,63.05,63.2,-,0.35,63.0,1.0,63.2,2.0,0.00
0054,20210129,60020.0,15.0,"1,787,555",30.14,30.15,29.5,29.5,-,0.64,29.11,50.0,29.35,16.0,0.00
0055,20210129,181401.0,103.0,"3,151,746",17.5,17.5,17.25,17.25,-,0.25,17.24,1.0,17.25,6.0,0.00
0056,20210129,12351255.0,6782.0,"377,489,552",30.73,30.77,30.21,30.26,-,0.46,30.26,35.0,30.27,18.0,0.00
0057,20210129,34048.0,14.0,"2,974,819",88.7,88.7,86.85,86.85,-,0.25,85.75,4.0,85.9,10.0,0.00
0061,20210129,229685.0,133.0,"5,654,773",24.56,24.74,24.48,24.48,-,0.22,24.48,21.0,24.55,3.0,0.00
006203,20210129,11372.0,16.0,"691,465",61.15,61.15,59.95,59.95,-,0.75,59.95,34.0,60.1,1.0,0.00
006204,20210129,1123.0,4.0,"87,235",77.7,77.7,77.7,77.7,+,0.35,75.6,10.0,75.9,10.0,0.00
006205,20210129,1881464.0,841.0,"74,830,198",39.74,40.02,39.49,39.49,-,0.37,39.49,199.0,39.5,15.0,0.00
006206,20210129,250533.0,71.0,"10,199,558",40.79,40.85,40.45,40.45,-,0.24,40.44,35.0,40.45,25.0,0.00
006207,20210129,2653964.0,368.0,"85,256,755",32.0,32.41,31.93,31.94,-,0.38,31.93,56.0,31.94,1.0,0.00
006208,20210129,2557808.0,3235.0,"191,035,218",75.9,76.0,73.55,73.55,-,1.35,73.5,31.0,73.55,25.0,0.00
00625K,20210129,20000.0,2.0,"187,200",9.36,9.36,9.36,9.36,+,0.03,9.2,5.0,9.45,2.0,0.00
00631L,20210129,4235479.0,2103.0,"423,603,674",102.4,102.45,97.1,97.1,-,3.55,97.05,1.0,97.1,83.0,0.00
00632R,20210129,243971637.0,17039.0,"1,615,840,692",6.55,6.72,6.54,6.72,+,0.12,6.72,7289.0,6.73,8565.0,0.00
00633L,20210129,8544050.0,1311.0,"652,311,905",76.2,77.05,75.2,75.2,-,0.7,75.2,705.0,75.25,12.0,0.00
00634R,20210129,1232000.0,112.0,"4,693,710",3.8,3.84,3.79,3.84,+,0.03,3.83,333.0,3.84,105.0,0.00
00635U,20210129,325046.0,138.0,"8,089,694",24.86,24.92,24.85,24.91,+,0.06,24.91,295.0,24.92,16.0,0.00
00636,20210129,1333407.0,413.0,"38,343,918",28.7,28.9,28.58,28.58,-,0.04,28.58,22.0,28.6,13.0,0.00
00636K,20210129,100.0,1.0,"1,025",10.25,10.25,10.25,10.25,+,0.06,10.11,15.0,10.22,15.0,0.00
00637L,20210129,42808309.0,5546.0,"1,284,311,029",29.97,30.28,29.6,29.6,-,0.22,29.59,61.0,29.6,247.0,0.00
00638R,20210129,1522419.0,153.0,"11,543,847",7.61,7.63,7.55,7.62,+,0.01,7.62,192.0,7.63,15.0,0.00
00639,20210129,2284858.0,344.0,"40,541,289",17.8,17.89,17.63,17.63,-,0.17,17.62,412.0,17.63,46.0,0.00
00640L,20210129,784000.0,84.0,"19,810,810",25.5,25.66,24.68,24.78,-,0.72,24.74,102.0,24.78,99.0,0.00
00641R,20210129,1527000.0,127.0,"17,817,980",11.59,11.78,11.53,11.74,+,0.17,11.74,12.0,11.76,3.0,0.00
00642U,20210129,10160745.0,1738.0,"90,649,767",8.93,8.95,8.9,8.92,-,0.05,8.91,460.0,8.92,185.0,0.00
00643,20210129,866520.0,146.0,"16,753,797",19.53,19.54,19.26,19.3,-,0.05,19.29,3.0,19.3,1.0,0.00
00643K,20210129,0.0,0.0,0,--,--,--,--, ,0.0,4.46,2.0,4.58,2.0,0.00
00645,20210129,183867.0,28.0,"4,402,750",24.06,24.06,23.62,23.64,-,0.42,23.64,49.0,23.66,50.0,0.00
00646,20210129,3457078.0,1208.0,"110,966,794",32.2,32.3,31.89,31.92,-,0.07,31.9,6.0,31.92,56.0,0.00
00647L,20210129,875000.0,68.0,"43,736,370",50.55,50.8,49.59,49.59,-,0.19,49.48,100.0,49.59,47.0,0.00
00648R,20210129,1389000.0,162.0,"11,631,980",8.34,8.42,8.31,8.42,+,0.03,8.41,37.0,8.42,334.0,0.00
00650L,20210129,3842900.0,467.0,"116,009,300",30.69,30.81,29.65,29.65,-,0.95,29.65,168.0,29.68,10.0,0.00
00651R,20210129,671000.0,88.0,"4,758,890",7.08,7.17,7.0,7.15,+,0.07,7.15,68.0,7.17,40.0,0.00
00652,20210129,122168.0,88.0,"2,886,933",23.88,23.88,23.55,23.55,-,0.13,23.55,18.0,23.59,8.0,0.00
00653L,20210129,1585000.0,514.0,"50,402,520",32.05,32.14,31.32,31.5,-,0.1,31.49,1.0,31.5,7.0,0.00
00654R,20210129,312000.0,79.0,"3,260,010",10.49,10.52,10.34,10.49, ,0.0,10.49,46.0,10.5,3.0,0.00
00655L,20210129,3392000.0,912.0,"194,410,250",57.25,57.8,56.5,56.5,-,0.6,56.5,5.0,56.55,301.0,0.00
00656R,20210129,256000.0,28.0,"1,789,540",7.04,7.04,6.97,7.04,+,0.03,7.03,450.0,7.04,1.0,0.00
00657,20210129,15373.0,9.0,"525,792",34.5,34.51,33.94,33.94,-,0.68,33.94,29.0,34.0,10.0,0.00
00657K,20210129,100.0,1.0,"1,235",12.35,12.35,12.35,12.35,-,0.01,12.06,12.0,12.16,12.0,0.00
00660,20210129,15236.0,9.0,"381,122",25.12,25.13,25.0,25.0, ,0.0,24.82,38.0,24.92,20.0,0.00
00661,20210129,3000.0,2.0,"105,120",35.05,35.05,35.02,35.02,-,0.12,34.28,10.0,34.46,15.0,0.00
00662,20210129,553160.0,144.0,"26,001,718",47.01,47.23,46.64,46.65,-,0.27,46.64,53.0,46.65,6.0,0.00
00663L,20210129,21000.0,16.0,"1,870,500",90.3,90.4,86.0,86.45,-,2.45,85.45,447.0,85.65,238.0,0.00
00664R,20210129,11090000.0,1109.0,"83,537,250",7.45,7.64,7.44,7.64,+,0.13,7.64,2977.0,7.65,90.0,0.00
00665L,20210129,1059000.0,169.0,"29,047,230",28.25,28.27,27.08,27.08,-,0.77,27.05,1.0,27.08,56.0,0.00
00666R,20210129,84000.0,7.0,"905,920",10.73,10.84,10.73,10.84,+,0.11,10.84,2.0,10.88,100.0,0.00
00668,20210129,9158.0,9.0,"282,068",30.74,30.94,30.69,30.69,+,0.02,30.58,53.0,30.66,60.0,0.00
00668K,20210129,100.0,1.0,"1,101",11.01,11.01,11.01,11.01,+,0.09,--,0.0,--,0.0,0.00
00669R,20210129,11908100.0,795.0,"110,720,595",9.26,9.36,9.22,9.36,+,0.03,9.35,108.0,9.36,372.0,0.00
00670L,20210129,687635.0,252.0,"57,789,076",84.9,85.25,82.85,83.05,-,0.9,83.0,4.0,83.05,380.0,0.00
00671R,20210129,7341000.0,422.0,"46,826,040",6.32,6.42,6.32,6.42,+,0.05,6.41,62.0,6.42,396.0,0.00
00673R,20210129,170200.0,76.0,"3,851,013",22.62,22.66,22.55,22.64,+,0.2,22.64,141.0,22.65,1.0,0.00
00674R,20210129,75000.0,18.0,"979,070",13.1,13.1,13.04,13.07,-,0.04,13.04,1.0,13.06,5.0,0.00
00675L,20210129,540000.0,349.0,"20,455,440",38.7,38.76,36.71,36.71,-,1.38,36.7,2.0,36.71,182.0,0.00
00676R,20210129,11906000.0,677.0,"49,020,880",4.06,4.17,4.06,4.17,+,0.07,4.17,1079.0,4.18,2567.0,0.00
00677U,20210129,451361791.0,26705.0,"1,777,785,150",3.78,4.1,3.75,4.1,+,0.25,4.1,5320.0,4.11,2680.0,0.00
00678,20210129,448210.0,47.0,"12,900,540",28.96,28.97,28.72,28.72,-,0.18,28.71,2.0,28.72,2.0,0.00
00680L,20210129,60000.0,34.0,"1,620,080",27.03,27.15,26.91,27.15,-,0.35,27.12,3.0,27.15,13.0,0.00
00681R,20210129,49000.0,8.0,"640,630",13.08,13.08,13.06,13.07,+,0.09,13.05,100.0,13.07,11.0,0.00
00682U,20210129,106000.0,44.0,"1,911,640",18.12,18.12,18.0,18.07, ,0.0,18.06,2.0,18.07,4.0,0.00
00683L,20210129,813000.0,223.0,"13,611,660",16.7,16.78,16.68,16.76,-,0.01,16.75,30.0,16.76,9.0,0.00
00684R,20210129,0.0,0.0,0,--,--,--,--, ,0.0,19.31,20.0,19.37,2.0,0.00
00685L,20210129,79000.0,21.0,"2,592,570",33.5,33.51,32.2,32.2,-,1.28,32.06,10.0,32.2,2.0,0.00
00686R,20210129,501000.0,54.0,"2,236,330",4.43,4.54,4.42,4.54,+,0.08,4.53,201.0,4.54,13.0,0.00
00688L,20210129,112000.0,10.0,"3,066,510",27.21,27.41,27.21,27.39,-,0.43,27.4,50.0,27.44,40.0,0.00
00689R,20210129,149000.0,6.0,"2,001,650",13.45,13.45,13.43,13.43,+,0.1,13.41,60.0,13.44,80.0,0.00
00690,20210129,192983.0,76.0,"5,729,793",30.04,30.1,29.43,29.43,-,0.42,29.35,21.0,29.43,20.0,0.00
00692,20210129,3562893.0,2388.0,"115,151,788",32.73,32.8,31.96,31.96,-,0.39,31.95,14.0,31.96,253.0,0.00
00693U,20210129,9259528.0,569.0,"192,035,461",20.65,20.83,20.64,20.73,-,0.24,20.72,29.0,20.73,46.0,0.00
00700,20210129,157521.0,29.0,"3,199,610",20.3,20.46,20.08,20.08,-,0.34,20.08,1.0,20.16,20.0,0.00
00701,20210129,1466379.0,964.0,"30,115,052",20.6,20.62,20.46,20.46,-,0.13,20.45,44.0,20.46,48.0,0.00
00702,20210129,55169.0,18.0,"973,002",17.66,17.66,17.57,17.57,-,0.38,17.55,5.0,17.64,15.0,0.00
00703,20210129,360242.0,50.0,"9,841,521",27.46,27.48,27.2,27.21,-,0.1,27.17,1.0,27.2,21.0,0.00
00706L,20210129,0.0,0.0,0,--,--,--,--, ,0.0,17.79,40.0,17.82,36.0,0.00
00707R,20210129,0.0,0.0,0,--,--,--,--, ,0.0,18.88,68.0,18.93,34.0,0.00
00708L,20210129,1249150.0,270.0,"35,475,148",28.37,28.48,28.33,28.45,+,0.18,28.45,348.0,28.46,16.0,0.00
