公司代號,公司名稱,公司簡稱,產業類別,成立日期,上市日期,資本額
1101,台灣水泥股份有限公司,台泥,水泥工業,1950-12-29,1962-02-09,     59414007210
1102,亞洲水泥股份有限公司,亞泥,水泥工業,1957-03-21,1962-06-08,     33614471980
1103,嘉新水泥股份有限公司,嘉泥,水泥工業,1954-12-13,1969-11-14,      7747805480
1104,環球水泥股份有限公司,環泥,水泥工業,1960-03-21,1971-02-01,      6536091920
1108,幸福水泥股份有限公司,幸福,水泥工業,1974-05-07,1990-06-06,      4047380490
1109,信大水泥股份有限公司,信大,水泥工業,1964-03-15,1991-12-05,      3419578680
1110,東南水泥股份有限公司,東泥,水泥工業,1956-12-28,1994-10-22,      5720007970
1201,味全食品工業股份有限公司,味全,食品工業,1953-09-22,1962-02-09,      5060629140
1203,味王股份有限公司,味王,食品工業,1959-07-04,1964-08-24,      2400000000
1210,大成長城企業股份有限公司,大成,食品工業,1960-12-28,1978-05-20,      8273390860
1213,大西洋飲料股份有限公司,大飲,食品工業,1965-07-24,1981-04-10,        566226270
1215,台灣卜蜂企業股份有限公司,卜蜂,食品工業,1977-08-22,1987-07-27,      2679909980
1216,統一企業股份有限公司,統一,食品工業,1967-08-25,1987-12-28,     56820154210
1217,愛之味股份有限公司,愛之味,食品工業,1971-06-26,1989-10-28,      4945133360
1218,泰山企業股份有限公司,泰山,食品工業,1950-10-26,1989-11-11,      4999990380
1219,福壽實業股份有限公司,福壽,食品工業,1955-02-07,1990-12-01,      3220138870
1220,台榮產業股份有限公司,台榮,食品工業,1969-03-13,1991-11-20,      1770779440
1225,福懋油脂股份有限公司,福懋油,食品工業,1986-04-18,1993-09-27,      2187030510
1227,佳格食品股份有限公司,佳格,食品工業,1986-06-06,1994-04-09,      9150895910
1229,聯華實業投資控股股份有限公司,聯華,食品工業,1955-07-20,1976-07-19,     12814982150
1231,聯華食品工業股份有限公司,聯華食,食品工業,1970-07-07,1995-11-02,      1833251650
1232,大統益股份有限公司,大統益,食品工業,1982-05-24,1996-02-09,      1599749150
1233,天仁茶業股份有限公司,天仁,食品工業,1975-12-11,1999-01-20,        905919480
1234,黑松股份有限公司,黑松,食品工業,1969-12-13,1999-03-12,      4018710940
1235,興泰實業股份有限公司,興泰,食品工業,1972-11-15,2000-09-11,      1043979850
1236,宏亞食品股份有限公司,宏亞,食品工業,1976-06-14,2001-09-17,      1083425100
1256,鮮活控股股份有限公司,鮮活果汁-KY,食品工業,2010-01-12,2016-03-17,        338421600
1301,台灣塑膠工業股份有限公司,台塑,塑膠工業,1954-11-05,1964-07-27,     63657407810
1303,南亞塑膠工業股份有限公司,南亞,塑膠工業,1958-08-22,1967-11-05,     79308215890
1304,台灣聚合化學品股份有限公司,台聚,塑膠工業,1965-05-26,1972-05-20,     11887635000
1305,華夏海灣塑膠股份有限公司,華夏,塑膠工業,1964-04-29,1973-03-05,      5533814230
1307,三芳化學工業股份有限公司,三芳,塑膠工業,1973-06-16,1985-11-23,      3978181260
1308,亞洲聚合股份有限公司,亞聚,塑膠工業,1977-01-25,1986-06-20,      5821018820
1309,台達化學工業股份有限公司,台達化,塑膠工業,1960-04-06,1986-06-27,      3442310380
1310,台灣苯乙烯工業股份有限公司,台苯,塑膠工業,1979-11-16,1987-08-06,      5278697640
1312,國喬石油化學股份有限公司,國喬,塑膠工業,1973-09-25,1988-12-21,      9266203280
1313,聯成化學科技股份有限公司,聯成,塑膠工業,1976-08-14,1989-03-27,     13323476070
1314,中國石油化學工業開發(股)公司,中石化,塑膠工業,1969-07-08,1991-07-12,     32848501300
1315,達新工業股份有限公司,達新,塑膠工業,1966-10-24,1992-05-09,      1386000000
1316,上曜建設開發股份有限公司,上曜,建材營造,1979-12-11,1992-10-15,      1846776260
1319,東陽實業廠股份有限公司,東陽,汽車工業,1967-10-30,1994-12-12,      5914770680
1321,大洋塑膠工業股份有限公司,大洋,塑膠工業,1965-06-07,1999-01-26,      2272282680
1323,永裕塑膠工業股份有限公司,永裕,塑膠工業,1973-04-02,2000-09-11,        912745540
1324,地球綜合工業股份有限公司,地球,塑膠工業,1964-12-08,2000-09-11,        751218820
1325,恒大股份有限公司,恆大,塑膠工業,1962-10-14,2000-09-11,        852811980
1326,台灣化學纖維股份有限公司,台化,塑膠工業,1965-03-05,1984-12-20,     58611862910
1337,亞洲塑膠再生資源控股有限公司,再生-KY,塑膠工業,2010-01-08,2011-08-17,      2689547290
1338,廣華控股有限公司,廣華-KY,汽車工業,2009-12-08,2012-12-19,        838400000
1339,昭輝實業股份有限公司,昭輝,汽車工業,1986-03-07,2012-04-24,        741388750
1340,勝悅新材料有限公司,勝悅-KY,塑膠工業,2012-06-14,2014-01-14,      1529228550
1341,富林塑膠工業(開曼)控股(股)公司,富林-KY,塑膠工業,2016-11-30,2018-12-24,        494000000
1342,八貫企業股份有限公司,八貫,其他,1982-06-17,2020-11-24,        678453630
1402,遠東新世紀股份有限公司,遠東新,紡織纖維,1954-01-13,1967-04-14,     53528752270
1409,新光合成纖維股份有限公司,新纖,紡織纖維,1967-04-25,1973-08-31,     16184092910
1410,南洋染整股份有限公司,南染,紡織纖維,1964-12-22,1973-10-18,        630000000
1413,宏洲纖維工業股份有限公司,宏洲,紡織纖維,1968-07-30,1975-12-23,      1321124540
1414,東和紡織股份有限公司,東和,紡織纖維,1959-09-11,1976-02-02,      2200000000
1416,廣豐實業股份有限公司,廣豐,其他,1968-06-28,1976-04-20,      1853421680
1417,嘉裕股份有限公司,嘉裕,紡織纖維,1969-12-12,1976-12-28,      1899418400
1418,東華合纖股份有限公司,東華,紡織纖維,1970-03-02,1977-02-14,        568343090
1419,新光紡織股份有限公司,新紡,紡織纖維,1955-06-06,1977-03-14,      3000412800
1423,利華羊毛工業股份有限公司,利華,紡織纖維,1964-07-23,1979-04-02,      1384000000
1432,大魯閣實業股份有限公司,大魯閣,貿易百貨,1973-07-18,1982-07-26,        750000000
1434,福懋興業股份有限公司,福懋,紡織纖維,1973-04-19,1985-12-24,     16846646370
1435,中福國際(股)公司,中福,其他,1971-01-15,1987-12-28,      1397800800
1436,華友聯開發股份有限公司(原福益),華友聯,建材營造,1967-01-31,1988-04-11,        956340000
1437,勤益投資控股股份有限公司,勤益控,其他,1961-02-23,1988-11-10,      2033712840
1438,三地開發地產股份有限公司,三地開發,建材營造,1955-10-11,1988-12-15,      1024115180
1439,中和羊毛工業股份有限公司,中和,紡織纖維,1964-10-01,1989-05-22,        920000000
1440,臺南紡織股份有限公司,南紡,紡織纖維,1955-03-21,1989-10-03,     16568158570
1441,大東紡織股份有限公司,大東,紡織纖維,1958-03-15,1989-10-27,      1008000000
1442,名軒開發股份有限公司,名軒,建材營造,1974-07-18,1989-11-16,      3662113580
1443,立益紡織股份有限公司,立益,紡織纖維,1972-11-25,1990-04-21,      1353430110
1444,力麗企業股份有限公司,力麗,紡織纖維,1979-01-15,1990-08-08,      9573029420
1445,大宇紡織股份有限公司,大宇,紡織纖維,1969-09-12,1991-02-05,      1306660340
1446,宏和精密紡織股份有限公司,宏和,紡織纖維,1978-06-09,1991-10-15,      1377095130
1447,力鵬企業股份有限公司,力鵬,紡織纖維,1975-08-20,1992-01-28,      9144872420
1449,佳和實業股份有限公司,佳和,紡織纖維,1972-12-12,1992-05-06,        820000000
1451,年興紡織股份有限公司,年興,紡織纖維,1986-10-13,1992-12-21,      1980000000
1452,宏益纖維工業股份有限公司,宏益,紡織纖維,1968-08-23,1992-12-28,      1326414000
1453,大將開發股份有限公司,大將,紡織纖維,1978-04-15,1993-04-19,      1006149800
1454,台灣富綢纖維股份有限公司,台富,紡織纖維,1973-06-01,1993-05-07,      1298338480
1455,集盛實業股份有限公司,集盛,紡織纖維,1969-08-18,1993-10-07,      5500013800
1456,怡華實業股份有限公司,怡華,紡織纖維,1968-08-02,1993-12-09,        937200000
1457,宜進實業股份有限公司,宜進,紡織纖維,1981-03-24,1994-10-20,      3016476400
1459,聯發紡織纖維股份有限公司,聯發,紡織纖維,1972-12-11,1994-10-26,      3586289070
1460,宏遠興業股份有限公司,宏遠,紡織纖維,1988-02-08,1995-04-28,      5098341820
1463,強盛染整股份有限公司,強盛,紡織纖維,1983-10-19,1996-12-05,      1732683810
1464,得力實業股份有限公司,得力,紡織纖維,1982-07-10,1997-01-18,      3845656520
1465,偉全實業股份有限公司,偉全,紡織纖維,1972-11-27,1997-09-08,      1036072670
1466,聚隆纖維股份有限公司,聚隆,紡織纖維,1988-07-22,1998-04-04,      1111573200
1467,南緯實業股份有限公司,南緯,紡織纖維,1978-08-18,1998-12-21,      2336246670
1468,昶和纖維興業股份有限公司,昶和,紡織纖維,1982-04-10,1999-01-21,      1604052440
1470,大統新創股份有限公司,大統新創,紡織纖維,1986-12-09,1999-05-21,        857670000
1471,首利實業股份有限公司,首利,電子零組件業,1982-10-21,2000-03-06,      1504145360
1472,三洋紡織纖維股份有限公司,三洋紡,紡織纖維,1968-10-07,2000-09-11,        860528510
1473,台南企業股份有限公司,台南,紡織纖維,1961-08-26,2000-09-11,      1471535340
1474,弘裕企業股份有限公司,弘裕,紡織纖維,1970-09-04,2000-10-31,      1298969690
1475,台灣業旺股份有限公司,業旺,紡織纖維,1990-11-02,2000-10-27,        560167490
1476,儒鴻企業股份有限公司,儒鴻,紡織纖維,1977-11-28,2001-04-18,      2743671110
