公司代號,所屬年度,季,營收,毛利,營業利益,稅前淨利,稅後淨利,母公司業主淨利,EPS,毛利率
000018,2015,2,96164.0,0.0,-7270.0,-7270.0,-7270.0,-7270.0,-0.26,0.0
000018,2015,4,200302.0,0.0,-20017.0,-20017.0,-20017.0,-20017.0,-0.71,0.0
000020,2015,2,91124.0,0.0,582.0,582.0,582.0,0.0,0.03,0.0
000020,2015,4,174512.0,0.0,1284.0,3044.0,3044.0,0.0,0.15,0.0
000020,2016,2,109460.0,0.0,8932.0,9194.0,9194.0,0.0,0.46,0.0
000020,2016,4,253238.0,0.0,30050.0,30630.0,30630.0,0.0,1.53,0.0
000020,2017,2,145916.0,0.0,33889.0,34374.0,28530.0,0.0,1.43,0.0
000020,2017,4,276704.0,0.0,50720.0,51405.0,42666.0,0.0,2.13,0.0
000020,2018,2,155122.0,0.0,29102.0,29501.0,29073.0,0.0,1.45,0.0
000020,2018,4,286788.0,0.0,46259.0,47155.0,43196.0,0.0,2.16,0.0
000020,2019,2,168103.0,0.0,44779.0,44904.0,43897.0,0.0,1.91,0.0
000020,2019,4,458320.0,0.0,125053.0,125514.0,106885.0,0.0,4.65,0.0
000020,2020,2,339624.0,0.0,128993.0,129390.0,103512.0,0.0,4.5,0.0
000022,2015,2,6338.0,0.0,-59302.0,-59302.0,-59302.0,0.0,-1.19,0.0
000022,2015,4,10383.0,0.0,-115318.0,-115318.0,-115318.0,0.0,-2.31,0.0
000022,2016,2,60050.0,0.0,-5531.0,-5531.0,-5531.0,0.0,-0.11,0.0
000022,2016,4,60050.0,0.0,-47746.0,-47746.0,-47746.0,0.0,-0.95,0.0
000022,2017,2,205.0,0.0,-43610.0,-43610.0,-43610.0,0.0,-0.87,0.0
000022,2017,4,18264.0,0.0,-67049.0,-67049.0,-67049.0,0.0,-1.34,0.0
000022,2018,2,16903.0,0.0,-23355.0,-23355.0,-23355.0,0.0,-0.47,0.0
000022,2018,4,21835.0,0.0,-54703.0,-54703.0,-54703.0,0.0,-1.09,0.0
000022,2019,2,-1689.0,0.0,-31193.0,-31193.0,-31193.0,0.0,-0.6,-0.0
000022,2019,4,-1689.0,0.0,-59826.0,-59826.0,-59826.0,0.0,-1.12,-0.0
000022,2020,2,0.0,0.0,-20430.0,-20430.0,-20430.0,0.0,-0.37,
000024,2016,2,61895.0,0.0,55055.0,55055.0,55055.0,0.0,0.0,0.0
000024,2016,4,139558.0,0.0,124302.0,124302.0,124302.0,0.0,0.0,0.0
000024,2017,2,87682.0,0.0,77286.0,77286.0,77286.0,0.0,0.0,0.0
000024,2017,4,116712.0,0.0,99582.0,99582.0,99582.0,0.0,0.0,0.0
000024,2018,2,62294.0,0.0,52935.0,0.0,0.0,0.0,0.0,0.0
000024,2018,4,79691.0,0.0,63688.0,63688.0,63688.0,0.0,0.0,0.0
000024,2019,2,57256.0,0.0,46680.0,46680.0,46680.0,0.0,0.0,0.0
000024,2019,4,91043.0,0.0,69455.0,69455.0,69455.0,0.0,0.0,0.0
000024,2020,2,47591.0,0.0,36421.0,36421.0,36421.0,0.0,0.0,0.0
000025,2016,2,0.0,0.0,-17679.0,-17679.0,-17679.0,0.0,-0.76,
000025,2016,4,2788.0,0.0,-64720.0,-64720.0,-64720.0,0.0,-0.02,0.0
000025,2017,2,16283.0,0.0,-37750.0,-37750.0,-37750.0,0.0,0.01,0.0
000025,2017,4,46477.0,0.0,-91372.0,-91372.0,-91372.0,0.0,-2.33,0.0
000025,2018,2,45582.0,0.0,-40837.0,-40837.0,-40837.0,0.0,-0.68,0.0
000025,2018,4,103003.0,0.0,-57259.0,-57259.0,-57259.0,0.0,-0.95,0.0
000025,2019,2,67470.0,0.0,-12614.0,-12614.0,-12614.0,0.0,-0.21,0.0
000025,2019,4,160182.0,0.0,-11695.0,-11695.0,-11695.0,0.0,-0.19,0.0
000025,2020,2,109904.0,0.0,7387.0,9869.0,9869.0,0.0,0.16,0.0
000026,2017,2,0.0,0.0,-40.0,-40.0,-40.0,0.0,0.0,
000026,2017,4,1254.0,0.0,1094.0,1155.0,1155.0,0.0,0.0,0.0
000026,2018,2,1026.0,0.0,891.0,871.0,871.0,0.0,0.0,0.0
000026,2018,4,1737.0,0.0,1447.0,1382.0,1382.0,0.0,0.0,0.0
000026,2019,2,2263.0,0.0,2149.0,2149.0,2149.0,0.0,0.0,0.0
000026,2019,4,3302.0,0.0,3038.0,3097.0,3097.0,0.0,0.0,0.0
000026,2020,2,382.0,0.0,174.0,174.0,174.0,0.0,0.0,0.0
000027,2018,4,0.0,0.0,-52158.0,-52158.0,-52158.0,0.0,0.0,
000027,2019,2,33.0,0.0,-30.0,-30.0,-30.0,-30.0,0.0,0.0
000027,2019,4,36.0,0.0,-77.0,-77.0,-77.0,0.0,0.0,0.0
000027,2020,2,0.0,0.0,-167.0,-167.0,-167.0,0.0,0.0,
000055,2016,2,567423.0,0.0,565437.0,565437.0,565437.0,0.0,0.0,0.0
000055,2016,4,544603.0,0.0,542324.0,542324.0,542324.0,0.0,0.0,0.0
000055,2017,2,429247.0,0.0,428011.0,428011.0,428011.0,0.0,0.0,0.0
000055,2017,4,517698.0,0.0,515352.0,515352.0,515352.0,0.0,0.0,0.0
000055,2018,2,256590.0,0.0,254254.0,254254.0,254254.0,0.0,0.0,0.0
000055,2018,4,363898.0,0.0,358260.0,358260.0,358260.0,0.0,0.0,0.0
000055,2019,2,188252.0,0.0,185596.0,185596.0,185596.0,0.0,0.0,0.0
000055,2019,4,317854.0,0.0,313408.0,313408.0,313408.0,0.0,0.0,0.0
000055,2020,2,296538.0,0.0,296200.0,296200.0,296200.0,0.0,0.0,0.0
000060,2016,2,73832.0,0.0,72889.0,72889.0,72889.0,0.0,0.0,0.0
000060,2016,4,103561.0,0.0,101433.0,101433.0,101433.0,0.0,0.0,0.0
000060,2017,2,136892.0,0.0,133986.0,133986.0,133986.0,0.0,0.0,0.0
000060,2017,4,255337.0,0.0,249797.0,0.0,0.0,0.0,0.0,0.0
000060,2018,2,102136.0,0.0,101946.0,101946.0,101946.0,0.0,0.0,0.0
000060,2018,4,140543.0,0.0,136489.0,136489.0,136489.0,0.0,0.0,0.0
000060,2019,2,52469.0,0.0,48811.0,48811.0,48811.0,0.0,0.0,0.0
000060,2019,4,160540.0,0.0,156531.0,156531.0,156531.0,0.0,0.0,0.0
000060,2020,2,166397.0,0.0,164893.0,164893.0,164893.0,0.0,0.0,0.0
000072,2016,2,19247.0,0.0,9227.0,9227.0,0.0,0.0,0.0,0.0
000072,2016,4,48930.0,0.0,32151.0,32151.0,26685.0,26685.0,0.0,0.0
000072,2017,2,26011.0,0.0,16336.0,16336.0,0.0,0.0,0.0,0.0
000072,2017,4,67739.0,0.0,46242.0,46242.0,38381.0,38381.0,0.0,0.0
000072,2018,2,9349.0,0.0,638.0,638.0,511.0,0.0,0.0,0.0
000072,2018,4,72040.0,0.0,43305.0,43305.0,34644.0,0.0,0.0,0.0
000072,2019,2,95808.0,0.0,73068.0,73068.0,58455.0,58455.0,0.0,0.0
000072,2019,4,174171.0,0.0,137580.0,137580.0,110064.0,0.0,0.0,0.0
000073,2016,2,27427.0,0.0,23709.0,23976.0,23976.0,0.0,0.0,0.0
000073,2016,4,104946.0,0.0,97434.0,97976.0,97976.0,0.0,0.0,0.0
000073,2017,2,69940.0,0.0,66506.0,66775.0,66775.0,0.0,0.0,0.0
000073,2017,4,211219.0,0.0,204345.0,204887.0,204887.0,0.0,0.0,0.0
000073,2018,2,82744.0,0.0,79577.0,80004.0,80004.0,0.0,0.0,0.0
000073,2018,4,136245.0,0.0,130026.0,130897.0,130897.0,0.0,0.0,0.0
000073,2019,2,76454.0,0.0,73911.0,74347.0,74347.0,0.0,0.0,0.0
000073,2019,4,167169.0,0.0,162187.0,163067.0,163067.0,0.0,0.0,0.0
000073,2020,2,69051.0,0.0,66322.0,66761.0,53409.0,0.0,0.0,0.0
000082,2016,2,38326.0,0.0,37758.0,37758.0,37758.0,0.0,0.0,0.0
000082,2016,4,60730.0,0.0,59253.0,59253.0,59253.0,0.0,0.0,0.0
000082,2017,2,25632.0,0.0,24901.0,24901.0,24901.0,0.0,0.0,0.0
000082,2017,4,39480.0,0.0,38414.0,38414.0,38414.0,0.0,0.0,0.0
000082,2018,2,27794.0,0.0,26890.0,26890.0,26890.0,0.0,0.0,0.0
000082,2018,4,70995.0,0.0,69410.0,69410.0,69410.0,0.0,0.0,0.0
000082,2019,2,796484.0,0.0,791845.0,791845.0,791845.0,0.0,0.0,0.0
000082,2019,4,1220991.0,0.0,1210325.0,1210325.0,1210325.0,0.0,0.0,0.0
000082,2020,2,1196160.0,0.0,1189534.0,1189534.0,1189534.0,0.0,0.0,0.0
000091,2016,2,6008.0,0.0,593.0,593.0,593.0,0.0,0.0,0.0
000091,2016,4,13321.0,0.0,3027.0,3027.0,3027.0,0.0,0.0,0.0
000091,2017,2,11195.0,0.0,5556.0,5556.0,5556.0,5556.0,0.0,0.0
000091,2017,4,30986.0,0.0,19985.0,19985.0,19985.0,0.0,0.0,0.0
000091,2018,2,10888.0,0.0,4849.0,4849.0,4849.0,4849.0,0.0,0.0
000091,2018,4,46688.0,0.0,33927.0,33927.0,33927.0,0.0,0.0,0.0
000091,2019,2,28057.0,0.0,22348.0,22348.0,22348.0,0.0,0.0,0.0
000091,2019,4,40863.0,0.0,27896.0,27896.0,27896.0,0.0,0.0,0.0
000091,2020,2,10011.0,0.0,3684.0,3684.0,3684.0,0.0,0.0,0.0
000102,2015,2,286467.0,0.0,29782.0,53869.0,44626.0,0.0,0.15,0.0
000102,2015,4,692497.0,0.0,138835.0,194739.0,170434.0,0.0,0.44,0.0
000102,2016,2,457513.0,0.0,134961.0,143933.0,130392.0,0.0,0.28,0.0
000102,2016,4,838300.0,0.0,181872.0,198550.0,180187.0,0.0,0.38,0.0
000102,2017,2,496911.0,0.0,101536.0,126074.0,107264.0,0.0,0.23,0.0
000102,2017,4,1178641.0,0.0,288222.0,361660.0,321305.0,0.0,0.68,0.0
000102,2018,2,511216.0,0.0,35472.0,35721.0,28979.0,0.0,0.06,0.0
000102,2018,4,849450.0,0.0,-84734.0,-84734.0,-98662.0,0.0,-0.21,0.0
000102,2019,2,641413.0,0.0,166597.0,181605.0,169411.0,0.0,0.36,0.0
000102,2019,4,1291022.0,0.0,336612.0,364462.0,321540.0,0.0,0.68,0.0
000102,2020,2,772311.0,0.0,275795.0,274448.0,254012.0,0.0,0.54,0.0
000104,2015,2,276302.0,0.0,46364.0,89494.0,67404.0,0.0,0.22,0.0
000104,2015,4,567870.0,0.0,89470.0,142830.0,121838.0,0.0,0.41,0.0
000104,2016,2,235345.0,0.0,14718.0,15787.0,8796.0,0.0,0.03,0.0
000104,2016,4,513510.0,0.0,67184.0,56881.0,43650.0,0.0,0.15,0.0
000104,2017,2,338551.0,0.0,113500.0,121282.0,110844.0,0.0,0.37,0.0
000104,2017,4,700726.0,0.0,216508.0,239666.0,208434.0,0.0,0.69,0.0
000104,2018,2,361778.0,0.0,111844.0,111977.0,86650.0,0.0,0.29,0.0
