公司代號,所屬年度,現金股利,股票股利
1101,2011,1.9,0.0
1102,2011,2.3,0.3
1103,2011,0.2,0.3
1104,2011,0.6,0.0
1108,2011,0.0,0.0
1109,2011,0.35,0.0
1110,2011,0.1,0.0
1201,2011,0.6,0.0
1203,2011,0.5,0.0
1210,2011,1.1888,0.49533
1213,2011,0.0,0.0
1215,2011,0.3,0.0
1216,2011,1.0,0.7
1217,2011,0.0,0.0
1218,2011,0.2,0.3
1219,2011,0.5,0.5
1220,2011,0.0,0.0
1225,2011,0.3,0.0
1227,2011,2.4,2.4
1229,2011,1.0,0.0
1231,2011,1.2,0.3
1232,2011,3.0,0.0
1233,2011,2.3,0.0
1234,2011,0.6,0.0
1235,2011,0.0,0.0
1236,2011,0.5,1.0
1256,2011,0.56,0.56
1301,2011,4.0,0.0
1303,2011,2.1,0.0
1304,2011,1.0,1.5
1305,2011,0.0,0.0
1307,2011,1.2,0.3
1308,2011,1.0,2.0
1309,2011,0.2,0.5
1310,2011,0.0,0.0
1312,2011,0.7,0.0
1312A,2011,1.3,0.0
1313,2011,0.5,0.5
1314,2011,1.75,1.75
1315,2011,1.7,0.0
1316,2011,0.0,0.0
1319,2011,0.3,0.4
1321,2011,0.0,0.0
1323,2011,1.2,0.0
1324,2011,0.6,0.0
1325,2011,0.65,0.0
1326,2011,4.0,0.0
1337,2011,3.5172043,1.5
1338,2011,1.5,0.0
1339,2011,1.5,0.0
1402,2011,1.7,0.3
1409,2011,0.3,0.0
1410,2011,0.9,0.0
1413,2011,0.0,0.0
1414,2011,0.3,0.0
1416,2011,0.0,0.0
1417,2011,0.0,0.0
1418,2011,0.0,0.0
1419,2011,0.6,0.0
1423,2011,0.0,0.0
1432,2011,0.0,0.0
1434,2011,1.2,0.0
1435,2011,0.0,0.0
1436,2011,0.0,0.0
1437,2011,0.0,0.0
1438,2011,0.0,0.0
1439,2011,0.5,0.0
1440,2011,0.2,0.0
1441,2011,0.7,0.0
1442,2011,2.5,0.0
1443,2011,0.0,0.0
1444,2011,0.5,0.3
1445,2011,0.5,0.0
1446,2011,0.3,0.0
1447,2011,0.0,0.0
1449,2011,0.0,0.0
1451,2011,1.0,0.0
1452,2011,0.5,0.0
1453,2011,0.0,0.4
1454,2011,0.5,0.0
1455,2011,0.1,0.1
1456,2011,0.0,0.0
1457,2011,0.0,0.0
1459,2011,0.47,0.0
1460,2011,0.0,0.0
1463,2011,0.0,0.0
1464,2011,0.2,0.0
1465,2011,1.1,0.0
1466,2011,1.0,0.0
1467,2011,0.2,0.2
1468,2011,0.0,0.0
1470,2011,0.2,0.0
1471,2011,0.0,0.0
1472,2011,0.0,0.0
1473,2011,2.3,0.0
1474,2011,0.3,0.0
1475,2011,0.0,0.0
1476,2011,3.0,0.7
1477,2011,6.1,0.0
1503,2011,1.2,0.0
1504,2011,0.9,0.0
1506,2011,0.0,0.0
1507,2011,2.2,0.0
1512,2011,0.5,0.0
1513,2011,1.0,0.0
1514,2011,0.35,0.0
1515,2011,0.0,0.0
1516,2011,0.0,0.0
1517,2011,0.7,0.0
1519,2011,0.5,0.0
1521,2011,4.0,0.0
1522,2011,0.1,0.1
1524,2011,0.0,0.0
1525,2011,1.7,0.0
1526,2011,0.0,0.0
1527,2011,1.82526823,0.0
1528,2011,0.6,0.4315427
1529,2011,0.0,0.0
1530,2011,1.5,0.0
1531,2011,2.0,0.0
1532,2011,0.4,0.4
1533,2011,0.4,0.0
1535,2011,3.5,0.0
1536,2011,0.0,0.0
1537,2011,2.5,0.0
1538,2011,0.0,0.0
1539,2011,0.0,0.0
1540,2011,1.5,0.0
1541,2011,0.0,0.0
1558,2011,8.0,0.0
1560,2011,2.7,0.0
1568,2011,0.0,0.0
1582,2011,3.0,0.0
1583,2011,2.5,0.0
1587,2011,1.0,0.0
1589,2011,0.16667312,1.5
1590,2011,5.3,0.0
1597,2011,1.0,1.0
1598,2011,0.05,0.45
1603,2011,0.0,0.0
1604,2011,0.3,0.0
1605,2011,0.0,0.0
1608,2011,0.0,0.0
1609,2011,0.25,0.0
1611,2011,1.2,0.0
1612,2011,0.3,0.0
1614,2011,1.19,0.0
1615,2011,0.5,0.0
1616,2011,0.0,0.0
1617,2011,0.0,0.0
1618,2011,0.5,0.0
1701,2011,0.5,0.0
1702,2011,0.55,0.0
1707,2011,3.0,0.0
1708,2011,1.5,0.0
1709,2011,0.8,1.0
1710,2011,2.0,1.0
1711,2011,0.5,0.5
1712,2011,0.8,0.0
1713,2011,0.31,0.0
1714,2011,0.0,1.2
1717,2011,1.0,0.0
1718,2011,0.0,0.0
1720,2011,1.0,0.0
1721,2011,0.0,0.0
1722,2011,2.3,0.0
1723,2011,8.0,0.0
1724,2011,2.0,0.0
1725,2011,0.0,0.0
1726,2011,2.5,0.0
1727,2011,0.4302,0.872093
1730,2011,1.0,0.0
1731,2011,0.2,0.0
1732,2011,0.4,0.0
