公司代號,所屬年度,負債占資產比率,長期資金佔不動產廠房及設備比率,流動比率,速動比率,利息保障倍數,應收款項週轉率,平均收現日數,存貨週轉率,平均銷貨日數,不動產廠房及設備週轉率,總資產週轉率,資產報酬率,權益報酬率,稅前純益佔實收資本比率,純益率,每股盈餘,現金流量比率,現金流量允當比率,現金再投資比率
1101,2013,45.66,194.1,124.7,110.88,12.42,5.15,70.87,9.85,37.05,1.09,0.42,5.92,10.24,50.39,13.02,2.72,31.21,103.54,6.27
1101,2014,44.66,206.66,140.76,124.35,13.11,4.54,80.39,9.29,39.28,1.09,0.41,6.27,10.51,57.42,14.02,2.93,29.12,104.69,3.83
1101,2015,46.95,198.55,133.06,119.28,6.07,4.01,91.02,8.15,44.78,0.84,0.32,2.85,4.36,23.47,7.39,1.56,31.97,109.73,3.19
1101,2016,44.79,208.14,141.34,124.52,7.58,4.46,81.83,8.03,45.45,0.83,0.32,3.68,5.84,31.19,9.87,1.72,34.03,128.62,3.87
1101,2017,43.99,218.95,142.22,128.72,8.92,4.16,87.74,9.21,39.63,1.0,0.36,4.36,6.88,32.56,10.5,2.03,18.88,116.16,1.57
1101,2018,42.64,306.92,171.12,155.85,14.16,3.8,96.05,10.21,35.74,1.34,0.4,7.95,12.94,57.54,18.17,4.37,34.34,80.9,3.68
1101,2019,43.27,334.83,177.58,164.66,18.36,3.12,116.98,9.87,36.98,1.36,0.35,7.58,12.54,57.6,20.73,4.43,43.39,81.43,2.48
1102,2013,50.31,246.85,105.46,92.77,7.27,4.15,87.95,7.95,45.91,1.19,0.32,4.79,8.04,31.19,12.04,2.21,23.86,83.19,5.18
1102,2014,42.82,308.6,108.57,94.08,9.23,4.13,88.37,7.7,47.4,1.17,0.28,4.51,6.93,40.81,14.04,2.98,16.38,89.91,2.14
1102,2015,42.66,304.55,81.02,69.8,5.14,3.55,102.81,7.08,51.55,0.96,0.24,2.28,3.12,20.27,7.44,1.55,20.95,112.25,2.97
1102,2016,41.01,335.89,103.16,86.22,4.95,3.85,94.8,7.35,49.65,0.97,0.24,2.38,3.17,19.27,7.68,1.26,31.37,126.91,4.43
1102,2017,40.99,359.36,93.17,80.98,5.8,3.96,92.17,8.11,45.0,1.15,0.27,3.35,4.65,25.28,10.27,1.74,15.09,133.25,2.49
1102,2018,43.03,411.77,127.95,112.34,13.17,3.99,91.47,7.52,48.53,1.56,0.31,6.17,9.77,60.6,17.99,3.54,14.75,127.58,2.24
1102,2019,43.0,439.89,120.05,109.57,16.6,3.95,92.4,7.25,50.34,1.73,0.31,8.22,13.54,84.47,24.9,5.56,50.14,180.16,11.73
1103,2013,35.58,832.12,412.74,367.86,881.41,6.3,57.93,2.56,142.57,1.15,0.13,4.57,6.8,17.23,30.22,1.97,0.0,45.45,0.0
1103,2014,42.73,981.9,382.56,343.98,104.83,5.95,61.34,2.1,173.8,1.18,0.12,0.64,0.26,0.12,1.37,0.03,0.0,40.82,0.0
1103,2015,48.7,1106.78,699.93,609.52,186.35,6.34,57.57,1.75,208.57,1.04,0.1,1.31,1.28,2.51,7.55,0.34,19.88,59.6,0.24
1103,2016,39.48,1191.74,476.59,428.15,141.31,9.13,39.97,2.14,170.56,1.44,0.12,0.63,0.07,1.02,0.31,0.04,20.94,34.03,1.15
1103,2017,31.98,911.57,393.01,359.07,1170.83,7.2,50.69,1.24,294.35,0.86,0.07,3.9,5.57,13.96,46.64,1.39,17.41,29.79,0.86
1103,2018,34.6,830.28,348.97,321.92,593.43,8.17,44.67,1.43,255.24,0.66,0.07,2.78,3.83,5.52,36.76,1.09,0.0,29.24,0.0
1103,2019,38.85,535.84,288.01,284.83,884.56,7.05,51.77,2.8,130.35,0.38,0.05,4.27,6.32,12.72,74.77,2.02,0.0,17.68,0.0
1104,2013,18.08,248.67,154.73,133.99,169.33,4.21,86.69,14.26,25.59,0.9,0.3,6.68,8.16,19.02,21.21,1.84,23.35,79.11,-0.27
1104,2014,18.49,301.84,128.23,106.31,145.75,4.52,80.75,15.82,23.07,1.0,0.31,7.5,9.13,23.83,23.79,2.26,31.92,59.48,0.54
1104,2015,19.88,313.36,123.51,103.82,101.84,4.26,85.68,13.93,26.2,0.91,0.26,7.09,8.7,23.42,26.78,2.22,34.43,59.18,1.09
1104,2016,19.41,310.88,141.85,125.43,107.29,4.23,86.28,12.29,29.69,0.81,0.22,8.42,10.39,28.02,36.42,2.68,28.84,65.19,0.52
1104,2017,19.19,313.38,141.47,126.04,81.14,4.2,86.9,12.62,28.92,0.75,0.21,6.75,8.28,21.8,31.54,2.16,23.67,70.71,-0.51
1104,2018,21.02,316.34,118.13,108.9,52.87,4.24,86.08,14.1,25.88,0.8,0.21,4.88,6.01,17.25,21.99,1.62,17.53,67.95,-0.52
1104,2019,22.64,316.62,111.36,103.58,37.42,3.98,91.7,15.83,23.05,0.81,0.21,5.08,6.35,18.33,22.8,1.74,19.56,68.01,0.42
1108,2013,48.7,260.62,250.11,78.18,4.05,4.55,80.21,1.17,311.96,2.0,0.57,2.54,3.78,5.23,3.34,0.44,27.79,192.58,3.46
1108,2014,44.82,262.13,238.3,76.52,8.51,4.48,81.47,1.21,301.65,2.22,0.61,4.9,8.14,10.82,7.2,0.94,35.61,224.28,3.65
1108,2015,38.32,279.55,285.67,81.91,15.46,4.91,74.33,1.16,314.65,2.33,0.64,6.14,9.78,15.23,9.22,1.16,55.8,221.19,4.35
1108,2016,38.06,270.97,205.8,60.17,13.85,5.05,72.27,1.01,361.38,2.24,0.55,4.37,6.53,9.92,7.41,0.78,9.46,180.69,-0.58
1108,2017,38.81,322.2,266.01,61.47,-2.87,4.98,73.29,0.89,410.11,2.08,0.47,-1.03,-2.23,-2.94,-3.0,-0.25,4.21,152.0,-0.95
1108,2018,42.04,296.07,284.47,66.03,-4.91,5.57,65.52,0.89,410.11,1.77,0.46,-2.4,-4.66,-4.74,-6.05,-0.44,2.99,100.18,0.29
1108,2019,41.04,333.67,314.58,86.96,2.36,4.94,73.88,0.96,380.2,2.18,0.51,1.06,1.07,1.33,1.23,0.11,16.25,88.69,1.64
1109,2013,27.2,185.09,238.48,172.35,10.78,6.15,59.34,4.74,77.0,1.06,0.47,3.66,4.61,8.81,7.09,0.65,9.48,59.33,-0.34
1109,2014,24.45,164.55,150.36,103.29,12.14,5.67,64.37,4.94,73.88,1.16,0.52,3.86,4.76,10.14,6.74,0.67,27.67,62.8,0.04
1109,2015,26.03,179.78,251.92,164.93,1.44,5.9,61.86,4.73,77.16,1.04,0.49,-0.41,0.27,0.29,-1.32,0.04,53.47,76.91,3.99
