公司代號,年度,公司簡稱,產業類別,今年ROA,去年ROA,營業現金流,稅後淨利,今年非流動負債,去年非流動負債,今年流動比率,去年流動比率,今年毛利率,去年毛利率,今年資產周轉率,去年資產周轉率,皮氏分數
1101,2019,台泥,水泥工業,7.58,7.95,2886855718.77,34995952.0,92487775.0,82201818.0,177.58,171.12,0.282,0.472,0.35,0.4,4
1102,2019,亞泥,水泥工業,8.22,6.17,3727187936.66,32181565.0,53493855.0,57335358.0,120.05,127.95,0.282,0.377,0.31,0.31,5
1103,2019,嘉泥,水泥工業,4.27,2.78,0.0,2533431.0,11343949.0,7870414.0,288.01,348.97,0.127,0.262,0.05,0.07,2
1104,2019,環泥,水泥工業,5.08,4.88,74951064.24,1319276.0,1467033.0,1311820.0,111.36,118.13,0.099,0.194,0.21,0.21,4
1108,2019,幸福,水泥工業,1.06,-2.4,26278378.75,-46273.0,1390809.0,1330430.0,314.58,284.47,0.059,0.038,0.51,0.46,7
1109,2019,信大,水泥工業,13.79,13.6,213824693.75,1787175.0,304447.0,498546.0,251.83,228.51,0.321,0.444,0.73,0.71,7
1110,2019,東泥,水泥工業,0.39,0.71,17778669.85,93903.0,507709.0,322865.0,306.23,491.82,0.052,0.146,0.17,0.18,3
1201,2019,味全,食品工業,7.46,4.3,142819935.09,3579397.0,4862697.0,3296077.0,89.66,76.59,0.306,0.483,1.0,0.72,6
1203,2019,味王,食品工業,7.9,7.83,44507315.699999996,1070103.0,1474274.0,1550308.0,249.81,253.21,0.313,0.531,0.68,0.66,6
1210,2019,大成,食品工業,7.35,6.41,552120120.72,3901293.0,2803762.0,3533715.0,105.52,125.42,0.15,0.225,1.73,1.74,5
1213,2019,大飲,食品工業,-2.55,-7.68,-6744247.649999999,-67940.0,576652.0,397205.0,188.55,89.81,0.075,0.202,0.33,0.53,2
1215,2019,卜蜂,食品工業,10.96,7.05,196020392.79,1856023.0,3573206.0,2149054.0,106.14,91.43,0.15,0.227,1.23,1.43,5
1216,2019,統一,食品工業,6.89,6.83,5887491985.2,48266423.0,151082163.0,90281543.0,106.86,117.06,0.349,0.544,1.01,1.05,4
