公司代號,年度,公司簡稱,產業類別,月營收月增率,月營收年增率,累計營收年增率,毛利率季增率,毛利率年增率,營業利益季增率,營業利益年增率,流動比率,負債比率,本益比,股價淨值比,現金股利殖利率,價值股分數
1101,2019,台泥,水泥工業,0.3983320688308118,-11.333429679760048,-6.855939372851688,0.63346520187327,0.0,0.6566710400948526,0.0,177.58,43.27,9.58,1.2342839619748545,0.062111801242236024,72.5
1102,2019,亞泥,水泥工業,5.013791703876166,2.5344282823239297,-12.423721922463647,0.6829597814528698,0.0,0.7594642754312291,0.0,120.05,43.0,9.45,0.9521000471920718,0.07434944237918216,70.0
1103,2019,嘉泥,水泥工業,-3.800334084784784,27.305721470239867,9.198887563548649,0.8106097506974272,0.0,4.587938354090835,0.0,288.01,38.85,31.42,0.4803808424697057,0.060060060060060066,47.5
1104,2019,環泥,水泥工業,13.640783356840045,21.30263494276281,8.397734516696962,0.558917512941786,0.0,0.6544131725062226,0.0,111.36,22.64,10.32,0.7583547557840616,0.04842615012106538,80.0
1108,2019,幸福,水泥工業,-3.482713258680672,2.719340265555817,21.399224374118365,0.4520102738855123,0.0,0.4722955961464832,0.0,314.58,41.04,11.79,0.9584805653710247,0.013824884792626727,60.0
1109,2019,信大,水泥工業,18.56815862005668,23.284715966517783,-3.151048738613925,0.549445407985532,0.0,0.5598224235020708,0.0,251.83,22.89,6.98,0.9106445312499999,0.05898123324396784,65.0
1110,2019,東泥,水泥工業,7.270553822934266,6.528544142614601,0.3815286383080747,0.9114672399472321,0.0,-0.8830685333752818,0.0,306.23,12.01,0.0,1.1475964793500337,0.005899705014749263,77.5
1201,2019,味全,食品工業,-7.310212962269483,-1.7865800429872898,-7.768338100957563,0.6698939418779741,0.0,1.7613651931683258,0.0,89.66,63.64,26.87,1.5547839506172838,0.06619851116625311,25.0
1203,2019,味王,食品工業,7.879510613146299,-10.394168746052618,-6.1707565355887946,0.5293719832518335,0.0,0.6032232282645587,0.0,249.81,34.05,18.05,1.657250470809793,0.028409090909090908,65.0
1210,2019,大成,食品工業,10.823891520558986,10.502372246048038,1.3686865635100744,0.6111099705674272,0.0,0.7054690695604051,0.0,105.52,48.57,13.76,2.0274771024146547,0.045174537987679675,82.5
1213,2019,大飲,食品工業,22.80267295597484,8.952361023924112,-5.939991549399273,-2.268925851080367,0.0,0.8118604040934139,0.0,188.55,55.5,0.0,0.7400204708290686,0.0,40.0
1215,2019,卜蜂,食品工業,11.140827377178269,12.213701746512728,4.798425249062112,0.6834482677183951,0.0,0.8220819533735957,0.0,106.14,53.74,10.76,2.387858347386172,0.05649717514124294,80.0
1216,2019,統一,食品工業,-4.737481847251366,3.466770135163296,-0.0814052779871056,0.5679661557601776,0.0,0.6323179947103625,0.0,106.86,63.56,18.55,3.491002570694088,0.03681885125184094,57.5
1217,2019,愛之味,食品工業,-1.5481866959953057,-4.151600466610336,3.2974601769475846,0.7554257569188876,0.0,1.0866330507950255,0.0,65.06,50.06,20.32,0.6935886761032473,0.0,37.5
1218,2019,泰山,食品工業,3.626220154520577,6.333577283820571,4.271660107763059,0.7890349810272628,0.0,1.2284793759197612,0.0,209.73,28.43,16.49,1.8462083628632178,0.0345489443378119,70.0
1219,2019,福壽,食品工業,9.123404568698476,3.5770112933877978,0.6665734304785833,0.6829585595049472,0.0,1.7499091805490683,0.0,164.58,55.7,10.08,1.4269578313253013,0.02110817941952507,67.5
1220,2019,台榮,食品工業,18.125896225122617,-14.846723113996392,-6.84859913720762,0.6730740904404182,0.0,0.8920430815182312,0.0,409.82,21.31,12.24,0.8976317799847212,0.05106382978723404,62.5
1225,2019,福懋油,食品工業,11.864926511516288,10.373654128217105,-4.067184107161542,0.6357564632292687,0.0,0.8064749273115479,0.0,180.1,52.87,22.4,2.303683113273106,0.03921568627450981,62.5
1227,2019,佳格,食品工業,8.87561554022045,-6.658927865973485,10.2347222396354,0.6420359768298816,0.0,0.6323565678873251,0.0,240.99,33.5,14.75,3.0881557598702005,0.046409807355516634,75.0
1229,2019,聯華,食品工業,34.926788664179966,2.847343164170932,15.641691910909508,0.3399389810558535,0.0,0.22633900562958376,0.0,94.72,19.15,19.1,1.772207563764292,0.039702233250620354,75.0
1231,2019,聯華食,食品工業,31.18240371155689,1.049197662696937,2.6594548803263933,0.6236183667198034,0.0,0.7888214305729391,0.0,145.96,51.06,12.62,2.167392356071601,0.03571428571428572,77.5
1232,2019,大統益,食品工業,15.742507675186843,14.183716411075215,1.6960301357869,0.6296180165960612,0.0,0.666047769293004,0.0,337.41,28.86,18.85,5.021326095385809,0.03861003861003861,75.0
1233,2019,天仁,食品工業,-8.103817252457855,-12.831522983388874,-15.065610889686312,0.582747821699636,0.0,19.991558806978052,0.0,147.38,35.07,44.93,2.1410658307210033,0.04685212298682284,50.0
1234,2019,黑松,食品工業,14.623825556115785,-7.96993888530984,0.6480916330135895,0.9068939850757518,0.0,3.0150635429777903,0.0,316.44,21.03,14.7,0.7227833894500563,0.05279503105590062,67.5
1235,2019,興泰,食品工業,5.610115394058433,447.6129853596435,27.28172350021089,105.67631578947369,0.0,-3.524037160638586,0.0,204.1,38.58,32.95,0.9854294478527608,0.021400778210116735,47.5
1236,2019,宏亞,食品工業,61.27897971855749,-15.395707676992446,-12.163296750577926,0.7980100363384668,0.0,-0.5991987502519653,0.0,144.97,38.43,44.67,0.8987256874580818,0.022388059701492536,35.0
1256,2019,鮮活果汁-KY,食品工業,25.706315930376658,-0.7483371233170938,-1.1496048765882063,1.2946948896370012,0.0,1.7493164120034241,0.0,153.43,34.59,13.82,4.019044951687439,0.021602787456445994,62.5
1301,2019,台塑,塑膠工業,8.222205859962225,25.954205741673576,-10.601548419586928,0.6063201600351436,0.0,0.6835669022678745,0.0,196.7,29.76,45.46,1.9382205786382423,0.04938271604938272,60.0
1303,2019,南亞,塑膠工業,7.669105506547711,18.492332617113057,-4.524440655731869,0.6035871339925394,0.0,0.7255052299246803,0.0,224.48,35.9,30.36,1.699723826261612,0.03249630723781389,62.5
1304,2019,台聚,塑膠工業,13.37771624739189,27.39800449113167,-9.80657992134092,0.76066946581577,0.0,0.970972582972583,0.0,221.78,45.15,15.88,1.1421460176991152,0.02421307506053269,72.5
1305,2019,華夏,塑膠工業,10.226166190938008,36.29910897808568,-9.165868587339732,0.9006782864393079,0.0,1.426169472572529,0.0,287.7,29.34,14.94,1.4696485623003195,0.021739130434782608,75.0
1307,2019,三芳,塑膠工業,-5.121466292180924,-9.627757951496523,-17.813075322667483,0.6287147614965463,0.0,2.651265384966783,0.0,216.76,45.4,37.83,1.0136501516683518,0.0399002493765586,55.0
1308,2019,亞聚,塑膠工業,18.27709682339401,15.058277652168488,-16.00943605994431,0.3953904019452932,0.0,0.37561054061137455,0.0,200.03,39.55,13.15,1.0173160173160174,0.031914893617021274,70.0
1309,2019,台達化,塑膠工業,10.23465916408026,27.995873238005704,-12.294489588559,1.094907868896156,0.0,1.3775759422187734,0.0,210.71,46.28,8.64,1.9449776071657068,0.009868421052631578,65.0
1310,2019,台苯,塑膠工業,-10.684174847987924,-4.902364373123914,-33.61168193396739,-0.14612032183347556,0.0,-0.06934347854561473,0.0,178.02,22.3,0.0,1.3755274261603376,0.06134969325153374,57.5
1312,2019,國喬,塑膠工業,9.710675999252285,12.383453957246491,-19.11778579657583,1.1337488932550244,0.0,3.0046105684801567,0.0,461.53,13.51,8.0,0.7563780093424363,0.0,65.0
1313,2019,聯成,塑膠工業,6.918272996284673,6.636675930228121,-17.29237563036594,1.8660338751847219,0.0,-3.734158890534697,0.0,175.57,54.44,25.0,0.8779504893494531,0.013114754098360656,42.5
